state,subunitID,candidateID,candidateName,voteCount
AR,05043,AR13757,Pierce,10
AR,05043,AR13759,Myers,8
AR,05043,AR13750,Carroll,6
AR,05043,AR13752,La Riva,4
AR,05043,AR13755,De La Fuente,3
AR,05043,AR13751,Blankenship,2
AR,05043,AR13756,Gammon,0
AR,05045,AR12686,Trump,34338
AR,05045,AR13356,Biden,18267
AR,05045,AR13753,Jorgensen,840
AR,05045,AR13758,West,189
AR,05045,AR13754,Hawkins,158
AR,05045,AR13750,Carroll,91
AR,05045,AR13769,Collins,78
AR,05045,AR13759,Myers,67
AR,05045,AR13752,La Riva,61
AR,05045,AR13755,De La Fuente,56
AR,05045,AR13751,Blankenship,53
AR,05045,AR13757,Pierce,51
AR,05045,AR13756,Gammon,15
AR,05047,AR12686,Trump,5664
AR,05047,AR13356,Biden,1298
AR,05047,AR13753,Jorgensen,66
AR,05047,AR13769,Collins,17
AR,05047,AR13750,Carroll,15
AR,05047,AR13751,Blankenship,11
AR,05047,AR13758,West,11
AR,05047,AR13755,De La Fuente,10
AR,05047,AR13754,Hawkins,9
AR,05047,AR13757,Pierce,5
AR,05047,AR13756,Gammon,4
AR,05047,AR13759,Myers,3
AR,05047,AR13752,La Riva,0
AR,05049,AR12686,Trump,3944
AR,05049,AR13356,Biden,1031
AR,05049,AR13753,Jorgensen,38
AR,05049,AR13757,Pierce,29
AR,05049,AR13751,Blankenship,14
AR,05049,AR13769,Collins,10
AR,05049,AR13758,West,9
AR,05049,AR13755,De La Fuente,7
AR,05049,AR13752,La Riva,5
AR,05049,AR13754,Hawkins,4
AR,05049,AR13759,Myers,4
AR,05049,AR13756,Gammon,2
AR,05049,AR13750,Carroll,1
AR,05051,AR12686,Trump,29065
AR,05051,AR13356,Biden,14043
AR,05051,AR13753,Jorgensen,396
AR,05051,AR13751,Blankenship,137
AR,05051,AR13754,Hawkins,102
AR,05051,AR13757,Pierce,88
AR,05051,AR13758,West,88
AR,05051,AR13756,Gammon,73
AR,05051,AR13769,Collins,64
AR,05051,AR13750,Carroll,51
AR,05051,AR13759,Myers,31
AR,05051,AR13752,La Riva,28
AR,05051,AR13755,De La Fuente,27
AR,05053,AR12686,Trump,6791
AR,05053,AR13356,Biden,1268
AR,05053,AR13753,Jorgensen,56
AR,05053,AR13759,Myers,13
AR,05053,AR13769,Collins,11
AR,05053,AR13755,De La Fuente,10
AR,05053,AR13756,Gammon,9
AR,05053,AR13758,West,9
AR,05053,AR13754,Hawkins,8
AR,05053,AR13757,Pierce,7
AR,05053,AR13751,Blankenship,6
AR,05053,AR13750,Carroll,6
AR,05053,AR13752,La Riva,3
AR,05055,AR12686,Trump,12651
AR,05055,AR13356,Biden,3045
AR,05055,AR13753,Jorgensen,188
AR,05055,AR13758,West,43
AR,05055,AR13769,Collins,36
AR,05055,AR13754,Hawkins,32
AR,05055,AR13757,Pierce,17
AR,05055,AR13756,Gammon,16
AR,05055,AR13751,Blankenship,9
AR,05055,AR13750,Carroll,9
AR,05055,AR13755,De La Fuente,8
AR,05055,AR13752,La Riva,6
AR,05055,AR13759,Myers,6
AR,05057,AR12686,Trump,4463
AR,05057,AR13356,Biden,2135
AR,05057,AR13758,West,58
AR,05057,AR13753,Jorgensen,31
AR,05057,AR13757,Pierce,28
AR,05057,AR13756,Gammon,25
AR,05057,AR13754,Hawkins,24
AR,05057,AR13759,Myers,22
AR,05057,AR13769,Collins,19
AR,05057,AR13755,De La Fuente,18
AR,05057,AR13751,Blankenship,6
AR,05057,AR13750,Carroll,5
AR,05057,AR13752,La Riva,4
AR,05059,AR12686,Trump,9178
AR,05059,AR13356,Biden,3053
AR,05059,AR13753,Jorgensen,93
AR,05059,AR13758,West,38
AR,05059,AR13757,Pierce,37
AR,05059,AR13769,Collins,26
AR,05059,AR13756,Gammon,17
AR,05059,AR13754,Hawkins,16
AR,05059,AR13751,Blankenship,14
AR,05059,AR13750,Carroll,11
AR,05059,AR13759,Myers,8
AR,05059,AR13755,De La Fuente,6
AR,05059,AR13752,La Riva,6
AR,05061,AR12686,Trump,3358
AR,05061,AR13356,Biden,1333
AR,05061,AR13753,Jorgensen,27
AR,05061,AR13769,Collins,20
AR,05061,AR13758,West,17
AR,05061,AR13752,La Riva,14
AR,05061,AR13751,Blankenship,13
AR,05061,AR13754,Hawkins,11
AR,05061,AR13757,Pierce,10
AR,05061,AR13756,Gammon,8
AR,05061,AR13750,Carroll,4
AR,05061,AR13755,De La Fuente,2
AR,05061,AR13759,Myers,1
AR,05063,AR12686,Trump,11232
AR,05063,AR13356,Biden,2798
AR,05063,AR13753,Jorgensen,147
AR,05063,AR13769,Collins,99
AR,05063,AR13758,West,58
AR,05063,AR13757,Pierce,45
AR,05063,AR13751,Blankenship,29
AR,05063,AR13754,Hawkins,23
AR,05063,AR13756,Gammon,17
AR,05063,AR13750,Carroll,16
AR,05063,AR13752,La Riva,9
AR,05063,AR13759,Myers,7
AR,05063,AR13755,De La Fuente,6
AR,05065,AR12686,Trump,4615
AR,05065,AR13356,Biden,1019
AR,05065,AR13753,Jorgensen,55
AR,05065,AR13751,Blankenship,30
AR,05065,AR13758,West,14
AR,05065,AR13759,Myers,13
AR,05065,AR13750,Carroll,12
AR,05065,AR13769,Collins,12
AR,05065,AR13756,Gammon,8
AR,05065,AR13757,Pierce,6
AR,05065,AR13754,Hawkins,4
AR,05065,AR13755,De La Fuente,2
AR,05065,AR13752,La Riva,2
AR,05067,AR12686,Trump,3583
AR,05067,AR13356,Biden,1360
AR,05067,AR13753,Jorgensen,37
AR,05067,AR13758,West,25
AR,05067,AR13751,Blankenship,19
AR,05067,AR13759,Myers,11
AR,05067,AR13769,Collins,10
AR,05067,AR13750,Carroll,8
AR,05067,AR13755,De La Fuente,8
AR,05067,AR13754,Hawkins,5
AR,05067,AR13752,La Riva,5
AR,05067,AR13756,Gammon,3
AR,05067,AR13757,Pierce,2
AR,05069,AR13356,Biden,14882
AR,05069,AR12686,Trump,9500
AR,05069,AR13758,West,132
AR,05069,AR13753,Jorgensen,103
AR,05069,AR13755,De La Fuente,77
AR,05069,AR13752,La Riva,72
AR,05069,AR13769,Collins,59
AR,05069,AR13750,Carroll,58
AR,05069,AR13756,Gammon,49
AR,05069,AR13757,Pierce,27
AR,05069,AR13754,Hawkins,25
AR,05069,AR13751,Blankenship,24
AR,05069,AR13759,Myers,22
AR,05071,AR12686,Trump,6867
AR,05071,AR13356,Biden,2262
AR,05071,AR13753,Jorgensen,95
AR,05071,AR13769,Collins,31
AR,05071,AR13758,West,30
AR,05071,AR13754,Hawkins,25
AR,05071,AR13757,Pierce,24
AR,05071,AR13751,Blankenship,20
AR,05071,AR13755,De La Fuente,15
AR,05071,AR13750,Carroll,13
AR,05071,AR13752,La Riva,11
AR,05071,AR13756,Gammon,6
AR,05071,AR13759,Myers,3
AR,05073,AR12686,Trump,1730
AR,05073,AR13356,Biden,820
AR,05073,AR13758,West,22
AR,05073,AR13769,Collins,13
AR,05073,AR13752,La Riva,12
AR,05073,AR13753,Jorgensen,9
AR,05073,AR13757,Pierce,7
AR,05073,AR13751,Blankenship,6
AR,05073,AR13755,De La Fuente,5
AR,05073,AR13754,Hawkins,5
AR,05073,AR13759,Myers,3
AR,05073,AR13756,Gammon,1
AR,05073,AR13750,Carroll,0
AR,05075,AR12686,Trump,4569
AR,05075,AR13356,Biden,1080
AR,05075,AR13753,Jorgensen,52
AR,05075,AR13769,Collins,49
AR,05075,AR13751,Blankenship,45
AR,05075,AR13758,West,16
AR,05075,AR13757,Pierce,12
AR,05075,AR13750,Carroll,9
AR,05075,AR13759,Myers,9
AR,05075,AR13754,Hawkins,8
AR,05075,AR13755,De La Fuente,3
AR,05075,AR13756,Gammon,3
AR,05075,AR13752,La Riva,2
AR,05077,AR13356,Biden,1423
AR,05077,AR12686,Trump,1286
AR,05077,AR13752,La Riva,26
AR,05077,AR13756,Gammon,24
AR,05077,AR13769,Collins,18
AR,05077,AR13758,West,15
AR,05077,AR13751,Blankenship,14
AR,05077,AR13750,Carroll,8
AR,05077,AR13753,Jorgensen,8
AR,05077,AR13757,Pierce,8
AR,05077,AR13754,Hawkins,7
AR,05077,AR13755,De La Fuente,6
AR,05077,AR13759,Myers,5
AR,05079,AR12686,Trump,2725
AR,05079,AR13356,Biden,1031
AR,05079,AR13769,Collins,21
AR,05079,AR13753,Jorgensen,21
AR,05079,AR13754,Hawkins,20
AR,05079,AR13752,La Riva,16
AR,05079,AR13758,West,14
AR,05079,AR13756,Gammon,6
AR,05079,AR13755,De La Fuente,4
AR,05079,AR13759,Myers,4
AR,05079,AR13751,Blankenship,3
AR,05079,AR13757,Pierce,3
AR,05079,AR13750,Carroll,2
AR,05081,AR12686,Trump,3714
AR,05081,AR13356,Biden,1226
AR,05081,AR13751,Blankenship,83
AR,05081,AR13753,Jorgensen,44
AR,05081,AR13759,Myers,29
AR,05081,AR13752,La Riva,19
AR,05081,AR13758,West,17
AR,05081,AR13756,Gammon,13
AR,05081,AR13769,Collins,11
AR,05081,AR13757,Pierce,9
AR,05081,AR13754,Hawkins,7
AR,05081,AR13750,Carroll,3
AR,05081,AR13755,De La Fuente,1
AR,05083,AR12686,Trump,6438
AR,05083,AR13356,Biden,1544
AR,05083,AR13753,Jorgensen,88
AR,05083,AR13751,Blankenship,28
AR,05083,AR13769,Collins,27
AR,05083,AR13758,West,24
AR,05083,AR13754,Hawkins,16
AR,05083,AR13759,Myers,14
AR,05083,AR13757,Pierce,13
AR,05083,AR13756,Gammon,12
AR,05083,AR13750,Carroll,7
AR,05083,AR13752,La Riva,6
AR,05083,AR13755,De La Fuente,5
AR,05085,AR12686,Trump,22884
AR,05085,AR13356,Biden,6684
AR,05085,AR13753,Jorgensen,403
AR,05085,AR13756,Gammon,124
AR,05085,AR13759,Myers,123
AR,05085,AR13755,De La Fuente,97
