ward,precinct,votes,Biden,Trump,Hawkins,LaRiva,Carroll,Jorgensen
,34,274,264,8,1,0,0,1
,35,249,244,2,0,1,1,1
,36,372,354,15,1,0,1,1
,37,309,291,15,1,0,2,0
,38,450,435,13,1,0,0,1
,39,403,380,17,3,1,0,2
,40,415,398,15,0,1,0,1
,41,503,483,14,3,3,0,0
18,1,402,370,25,0,1,2,4
,2,458,376,81,0,1,0,0
,3,383,273,109,1,0,0,0
,4,441,411,23,4,1,1,1
,5,265,253,9,2,0,0,1
,6,404,283,113,1,3,3,1
,7,438,372,58,7,1,0,0
,8,417,398,16,1,0,2,0
,9,378,359,17,1,0,0,1
,10,520,494,20,3,1,0,2
,11,373,315,52,4,1,0,1
,12,381,361,16,1,0,1,2
,13,456,419,32,3,2,0,0
,14,434,420,12,1,0,0,1
,15,470,381,80,1,4,1,3
,16,408,390,17,1,0,0,0
,17,448,401,40,4,1,0,2
,18,316,300,13,2,0,0,1
,19,372,352,18,0,0,0,2
,20,301,292,7,1,1,0,0
,21,512,469,37,5,0,0,1
,22,457,437,17,2,1,0,0
,23,418,383,29,2,4,0,0
,24,437,311,121,1,1,0,3
,25,461,349,109,0,0,1,2
,26,497,470,22,1,3,0,1
,27,349,318,28,3,0,0,0
,28,418,270,146,0,0,0,2
,29,486,423,61,1,0,0,1
,30,551,395,146,3,1,0,6
,31,457,429,24,1,2,0,1
,32,406,392,13,0,1,0,0
,33,321,306,12,1,0,1,1
,34,460,426,33,1,0,0,0
,35,481,452,26,3,0,0,0
,36,451,379,67,0,1,0,4
,37,470,443,23,3,0,0,1
,38,389,374,13,1,1,0,0
,39,371,343,23,2,1,2,0
,40,453,374,72,2,3,1,1
,41,499,471,26,2,0,0,0
,42,375,346,24,2,2,0,1
,43,363,272,87,1,1,0,2
,44,397,275,118,3,0,0,1
,45,426,360,63,2,1,0,0
,46,466,341,121,0,0,0,4
,47,323,294,27,2,0,0,0
,48,305,290,12,1,0,0,2
,49,285,268,15,2,0,0,0
,50,350,327,17,2,1,2,1
19,1,413,182,227,2,0,0,2
,2,586,486,94,3,1,0,2
,3,428,107,315,1,0,0,5
,4,581,184,386,5,1,0,5
,5,515,402,106,3,0,0,4
,6,549,210,329,1,0,0,9
,7,432,245,180,3,0,1,3
,8,549,157,386,3,0,0,3
,9,347,149,196,0,0,0,2
,10,544,426,109,2,0,0,7
,11,489,133,348,3,1,2,2
,12,442,123,314,0,0,0,5
,13,523,486,28,7,0,0,2
,14,485,387,90,4,1,0,3
,15,676,199,467,2,0,2,6
,16,500,154,336,1,1,1,7
,17,411,178,224,1,0,2,6
,18,426,313,106,1,1,0,5
,19,581,463,112,2,0,1,3
,20,333,286,45,0,0,0,2
,21,514,148,358,2,0,0,6
,22,495,356,125,3,1,0,10
